id,ItemDescription,Diagnosis,PreventiveFlag
3191,Sophie:  Cryosurgery 1 lesion,tumor removal ,0
3192,MONTANA:  Free-T4 by equilibrium dialysi,hypothyroidism ,0
3193,Sienna:  Ear Cleaning,EAR HEMATOMA  ,0
3194,Sienna:  Urgent Care Exam - UCD Daytime (8am-6pm),EAR HEMATOMA  ,0
3195,Sienna:  Claro Otic Solution,EAR HEMATOMA  ,0
3196,Sienna:  Sedation - Canine IM or IV (50-300lbs),EAR HEMATOMA  ,0
3197,Sales Tax,EAR HEMATOMA  ,0
3198,Sienna:  E-Collar 30,EAR HEMATOMA  ,0
3199,Sienna:  Torbugesic 10mg/mL (per mL) INV,EAR HEMATOMA  ,0
3200,Sienna:  Galliprant 60mg tablets,EAR HEMATOMA  ,0
3201,Sienna:  Emergency Service Surcharge,EAR HEMATOMA  ,0
3202,Sienna:  Teat Cannula,EAR HEMATOMA  ,0
3203,Bella:  Ear - Cleaning & Smear,ear infection ,0
3204,Bella:  Posatex Otic 15g,ear infection ,0
3205,Bella:  aPriority Exam,ear infection ,0
3206,Bella:  Epi-Otic Advanced 8oz,ear infection ,0
3207,MONTANA:  Levothyroxine 0.8mg,hypothyroidism ,0
3208,Sadie Blu:  Cefpodoxime 100mg (Generic Simplicef) ,Perivulvar dermatitis ,0
3209,Sadie Blu:  Intestinal Parasite Screen,Perivulvar dermatitis ,1
3210,Karlie:  Cartrophen Vet Inj     12372,cytopoint and cartrophen injection ,0
3211,Mikey:  Radiology Consult - STAT,Diagnostics for Limping ,0
3212,Mikey:  Radiograph(s),Diagnostics for Limping ,0
3213,Mikey:  EloxiOral (Metacam) 1.5mg/ml 32ml,Diagnostics for Limping ,0
3214,Mikey:  Comprehensive Illness Exam,Diagnostics for Limping ,0
3215,Mikey:  4DX,Diagnostics for Limping ,0
3216,"Mikey:  Senior Screen (chem 27, CBC, T4, UA) ",Diagnostics for Limping ,0
3217,Mikey:  Sedation,Diagnostics for Limping ,0
3218,Mikey:  Biohazard Waste Disposal,Diagnostics for Limping ,0
3219,Mikey:  Meloxicam 5mg/ml Inj per ml,Diagnostics for Limping ,0
3220,Mikey:  Laser Therapy  Treatment Session,Diagnostics for Limping ,0
3221,Bradley:  Xylazine 100mg/ml Injection,Lame L Hind leg ,0
3222,Bradley:  Torbugesic Inj. 10mg/ml,Lame L Hind leg ,0
3223,Bradley:  Radiograph - 1st,Lame L Hind leg ,0
3224,Bradley:  Medical Progress Exam,Lame L Hind leg ,0
3225,Bradley:  Radiograph- additional/film,Lame L Hind leg ,0
3226,Max:  - Problem-Oriented Exam,limping ,0
3227,Max:  Nail Trim,limping ,0
3228,Max:  Onsior Injectable 20 mg/mL,limping ,0
3229,Max:  Onsior 6 mg Tablets 2 Pk,limping ,0
3230,Bowie:  Exam - Brief,Allergic Reaction ,0
3231,Bowie:  Vetalog 10mg/ml Injection,Allergic Reaction ,0
3232,Leon:  AVENTI OMEGA 3 ,ear infection ,0
3233,Leon:  APO-CLINDAMYCIN 300MG,ear infection ,0
3234,Leon:  RE-EVALUATION,ear infection ,0
3235,Leon:  OTIZOLE 30ML,ear infection ,0
3236,Ali:  Rimadyl 100mg Chew - 60 count,medications ,0
3237,Hope:  Examination/Consultation - Brief Recheck,re-check ,0
3238,Hope:  Canine Omega 3 (500mL),re-check ,0
3239,Hope:  Trazodone - 50mg,re-check ,0
3240,Hope:  Douxo Pyo Shampoo - 200mL,re-check ,0
3241,Billy Butters:  Medical Progress Exam,mild otitis and conjunctivitis ,0
3242,Billy Butters:  Cytology (Skin/Ear),mild otitis and conjunctivitis ,0
3243,Billy Butters:  Surolan Ear & Skin Solution 30ml,mild otitis and conjunctivitis ,0
3244,Billy Butters:  Ocuflox ( Ofloxacin ) 0.3% 5ml,mild otitis and conjunctivitis ,0
3245,Bolo:  Aluminum Hydroxide Susp 200mg/ml,refill ,0
3246,Bolo:  Entyce 30mg/ml Suspension,refill ,0
3247,Bolo:  Cerenia 60mg  #4 tablets,refill ,0
3248,Lucky:  Gentamicin Topical Spray 120mls,allergies and ear infection ,0
3249,Lucky:  zCytoPoint 40mg 30-40lb,allergies and ear infection ,0
3250,Lucky:  Ear Cytology,allergies and ear infection ,0
3251,Lucky:  CytoPoint Inj Administration,allergies and ear infection ,0
3252,Lucky:  Diphenhydramine 50mg,allergies and ear infection ,0
3253,Lucky:  Osurnia Otic Treatment /ear,allergies and ear infection ,0
3254,Lucky:  Office Visit ,allergies and ear infection ,0
3255,Lucky:  Douxo Chlorhexiderm 3% pledgets,allergies and ear infection ,0
3256,Lucky:  Medical Waste Disposal,allergies and ear infection ,0
3257,Marsellus:  Prednisone 5mg,IBD/Lymphoma ,0
3258,Marsellus:  CBC (WBC/PCV/DIFF in clinic),IBD/Lymphoma ,0
3259,Ginger:  Trilostane (Vetoryl) 5mg Caps DISPCHR,"Azotemia, pu/pd, elevated ALP, isosthenuria, bladder infection ",0
3260,Monet:  Exam - Minor,Skin Infection  ,0
3261,Chipette:  Hydroxyzine HCL (gen) 10mg Tab DISPMED,Allergies ,0
3262,Chipette:  Exam/Consultation   Medical Condition,Allergies ,0
3263,Roxy:  Consultation - Oncology,Increased Liver Enzyme ,0
3264,Gus:  Cytopoint 20mg (4.6-9.1kg) per ml,Allergy Testing ,0
3265,Chopper:  Vetoryl 5mg capsules #30,Congestive heart failure ,0
3266,Harley:  Enalapril maleate 2.5 mg,Congestive heart failure ,0
3267,"Chopper:  Fluid administration only, Subcutaneous",Congestive heart failure ,0
3268,Blizzard:  Previcox 227mg,Arthritic ,0
3269,Coco:  Medical Progress Evaluation,Limping ,0
3270,Coco:  Vaccinations,Limping ,1
3271,Coco:  Clavamox 62.5 mg Tabs,Limping ,0
3272,Coco:  Metacam 3 ml Bottle 0.5mg/ml Feline,Limping ,0
3273,Coco:  Revolution(<=2.5kg) Mauve,Limping ,1
3274,Emma Marie:  Previcox 227mg,"Arthritis, leg weakness ",0
3275,Jax:  Culture Mic-Antech,UTI ,0
3276,Jax:  Simparica Chew Tab 22.1-44#,UTI ,1
3277,Jax:  Sentinel 26-50# per tab,UTI ,1
3278,Jax:  Medical Waste Disposal Fee ,UTI ,0
3279,Jax:  Urinalysis,UTI ,0
3280,Keelie:  Cartrophen Injection 100mg/ml,cartrophen injection  ,0
3281,BUCK:  Biohazardous Disposal Fee,lamping ,0
3282,BUCK:  INJECTION FEE,lamping ,0
3283,BUCK:  Adequan 100mg/ml  IM 5ml per ml ,lamping ,0
3284,Spike:  PPVD Gentle Snackers HA 227g,Skin issues/ear infection  ,0
3285,Spike:  DOUXO Pyo Shampoo 200ml,Skin issues/ear infection  ,0
3286,Spike:  Apoquel 5.4mg #35845,Skin issues/ear infection  ,0
3287,Spike:  AventiCLAV 250mg #35844,Skin issues/ear infection  ,0
3288,Spike:  Cytopoint 10mg,Skin issues/ear infection  ,0
3289,"Spike:  Exam, Recheck",Skin issues/ear infection  ,0
3290,Spike:  Cytopoint 40mg,Skin issues/ear infection  ,0
3291,Spike:  DOUXO Pyo Micro-Emulsion Spray 200ml,Skin issues/ear infection  ,0
3292,"Spike:  Exam, Recheck",Skin issues/ear infection  ,0
3293,"Reginald:  Fluid Therapy,IV Daily(SetupPumpBaseFlu",FOREIGN BODY SX ,0
3294,Coco:  Clavamox Drops 15 ml,"Limping Mr ended up wanting liquid instead, returned pills, prescribed liquid.",0
3295,Coco:  Clavamox 62.5 mg Tabs,"Limping Mr ended up wanting liquid instead, returned pills, prescribed liquid.",0
3296,Bella:  Flurbiprofen Opthalmic Drops,conjunctivitis + Diabetes + HW Positive  ,0
3297,Bella:  Flagyl Tablets 100 mg,conjunctivitis + Diabetes + HW Positive  ,0
3298,Bella:  Examination Recheck,conjunctivitis + Diabetes + HW Positive  ,0
3299,Bella:  Tonometry,conjunctivitis + Diabetes + HW Positive  ,0
3300,Bella:  Snap Test 4 DX (In House),conjunctivitis + Diabetes + HW Positive  ,0
3301,Bella:  Zinc Sulfate Fecal Test Antech,conjunctivitis + Diabetes + HW Positive  ,0
3302,"Anastasia Fiona (""STASIA""):  Exam - Recheck",swollen lip ,0
3303,"Anastasia Fiona (""STASIA""):  Prednisolone 5mg Tabl",swollen lip ,0
3304,Sammie:  Dexamethasone SP (gen) 4mg/mL/mL IHINJ,lymphoma ,0
3305,Sammie:  Chemotherapy Admin 2 Infuse <1hr INJ,lymphoma ,0
3306,Sammie:  Heska Comprehensive Panel + CBC IHLAB,lymphoma ,0
3307,Sammie:  Doxorubicin (gen) 20mgVl/mg INJ,lymphoma ,0
3308,Sammie:  Diphenhydramine (gen) 50mg/mL/mL IHINJ,lymphoma ,0
3309,Sammie:  Oncology Recheck,lymphoma ,0
3310,Sammie:  Fluids Chemotherapy,lymphoma ,0
3311,Sammie:  Maropitant (Cerenia) 10mg/mL/mL IHINJ,lymphoma ,0
3312,Teddy:  Dasuquin Adv Soft MSM LG  (64 CHEWS),Elbow joint pain ,0
3313,Karl:  Chemo Setup III,Leiomyosarcoma ,0
3314,Karl:  Chemo Biohazard Safety,Leiomyosarcoma ,0
3315,Karl:  CBC Oncology in clinic,Leiomyosarcoma ,0
3316,Karl:  Maropitant (Cerenia)60mg Tab(4ct)Pack BV,Leiomyosarcoma ,0
3317,Karl:  Carboplatin(Paraplatin)10mg/ml (per ml),Leiomyosarcoma ,0
3318,"Karl:  Examination, Chemotherapy",Leiomyosarcoma ,0
3319,Simba:  RC K9 Hepatic 3.5kg #58671,Vomiting/Not Eating ,0
3320,Simba:  Aventi Liver Complete per Tablet #59674,Vomiting/Not Eating ,0
3321,Memphis:  Carpaquin 25mg Caplets,IVDD ,0
3322,Nala:  Medical Waste Fee-Office,Dermatitis ,0
3323,Nala:  Allergy Injection,Dermatitis ,0
3324,HONEY:  EXAMINATION,possible reoccurence of panniculitis ,0
3325,HONEY:  APOQUEL 3.6MG per pill,possible reoccurence of panniculitis ,0
3326,HONEY:  NEEDLE ASPIRATE,possible reoccurence of panniculitis ,0
3327,"HONEY:  CYTOLOGY, VPS",possible reoccurence of panniculitis ,0
3328,Chanel :  Medical Waste Disposal Fee,"Respirtory issues, nasal discharge  ",0
3329,Chanel :  Convenia 80 mg/ml. Injectable,"Respirtory issues, nasal discharge  ",0
3330,Max:  Castration Juvenile Dog,Diarrhea ,0
3331,Max:  Microchip-Homeagain w/ registr,Diarrhea ,1
3332,Max:  Cefpodoxime 100mg,Diarrhea ,0
3333,Blue:  4DX Plus Snap Test,Anaplasmosis ,0
3334,Blue:  Outpatient Hosp,Anaplasmosis ,0
3335,Blue:  CBC - Procyte,Anaplasmosis ,0
3336,Blue:  Catalyst Dx Chem 17 Clip,Anaplasmosis ,0
3337,Blue:  Doxycycline 100mg Tablet,Anaplasmosis ,0
3338,Blue:  Tick Titer Panel 6 + Lyme QC6 Idexx 2356,Anaplasmosis ,0
3339,Blue:  Electrolytes - Vet Stat,Anaplasmosis ,0
3340,Blue:  Phlebotomy - Medical Disposal Charge,Anaplasmosis ,0
3341,Roo:  Adequan 100 mg/ml,Allergies & Arthritis ,0
3342,Roo:  Apoquel 16.0mg #100,Allergies & Arthritis ,0
3343,Rowan:  PANACUR 51-75LB ( 3 PACKET) GROUP,Hookwarms ,1
3344,Mercedes:  IM Injection,meds for liver ,0
3345,Mac:  Electrolytes - Vet Stat,ataxia/vomiting ,0
3346,Mac:  Radiograph,ataxia/vomiting ,0
3347,Mac:  Radiograph - Additional,ataxia/vomiting ,0
3348,Mac:  Dexdom/Antisedan/Ketamine/Butorphanol,ataxia/vomiting ,0
3349,"Mac:  Fluids, Subcutaneous/In-Hospital",ataxia/vomiting ,0
3350,Mac:  FAST scan/12 hrs,ataxia/vomiting ,0
3351,Mac:  Catalyst Dx Chem 17 Clip,ataxia/vomiting ,0
3352,Mac:  CBC - Procyte w/Manual PCV,ataxia/vomiting ,0
3353,Mac:  Phlebotomy - Medical Disposal Charge,ataxia/vomiting ,0
3354,Mac:  FAST scan/12 hrs,ataxia/vomiting ,0
3355,Rojita:  Phenylpropanolamine (Proin) 50mg Cw Tab D,"Urinary Incontinance, irritable bowel, meds ",0
3356,Rojita:  PD d/d K9 Potato & Salmon 25lb 10863,"Urinary Incontinance, irritable bowel, meds ",0
3357,Candy:  Apoquel 5.4 mg #46843,bumps on skin ,0
3358,Candy:  Medical Concern Exam,bumps on skin ,0
3359,Candy:  Skin Impression Smear,bumps on skin ,0
3360,Marilyn:  TECHNICIAN SUPPORT,remove lump ,0
3361,Marilyn:  SURGEONS FEE,remove lump ,0
3362,Marilyn:  BUSTER COLLAR-12.5 CM,remove lump ,0
3363,Marilyn:  FLUID THERAPY-SC/500CC,remove lump ,0
3364,Marilyn:  PATH-BIOPSY,remove lump ,0
3365,Marilyn:  BUPRENEX ORAL PER CC,remove lump ,0
3366,Marilyn:  SURGICAL PRE OP LEVEL 2,remove lump ,0
3367,Marilyn:  ANESTHESIA MONITORING,remove lump ,0
3368,Marilyn:  CARDIAC MONITORING,remove lump ,0
3369,Marilyn:  POST-OP PAIN MEDICATION,remove lump ,0
3370,LUNA:  Pimobendan Chew Tabs 1.25mg,Heart medication ,0
3371,LUNA:  Dispensing Fee - $15.00,Heart medication ,0
3372,Memphis:  Omega 3 Fatty Acid (8oz),allergies ,0
3373,Molly:  Ubavet Glucosamine HCL Small Animal 340m,medication refill - worsening degenerative arthritis ,0
3374,Willy:  Mass Removal,Mass removal; Right lateral thorax. ,0
3375,Willy:  IV Cath & Fluids for Sx,Mass removal; Right lateral thorax. ,0
3376,Willy:  Biohazard Level 2,Mass removal; Right lateral thorax. ,0
3377,"Willy:  Chem 21, CBC + 4DX IH Canine + SDMA",Mass removal; Right lateral thorax. ,0
3378,Willy:  Cerenia Injection  61-70lbs,Mass removal; Right lateral thorax. ,0
3379,Willy:  Pain Injection,Mass removal; Right lateral thorax. ,0
3380,Willy:  E-Collar Large (25/30 cm),Mass removal; Right lateral thorax. ,0
3381,Willy:  Daily Doctor Care,Mass removal; Right lateral thorax. ,0
3382,Willy:  Convenia 61-70lbs,Mass removal; Right lateral thorax. ,0
3383,Willy:  Pre-anesthetic,Mass removal; Right lateral thorax. ,0
3384,Willy:  Anesthesia Isoflurane 51-100lbs,Mass removal; Right lateral thorax. ,0
3385,Willy:  Diphenhydramine Injectable,Mass removal; Right lateral thorax. ,0
3386,Willy:  Trazodone HCl 100mg ,Mass removal; Right lateral thorax. ,0
3387,Willy:  Metacam (Loxicam) Oral Solution- 32ml ,Mass removal; Right lateral thorax. ,0
3388,Willy:  Biopsy w/ Description 1 Site - Cornell,Mass removal; Right lateral thorax. ,0
3389,Ovi:  Office Visit / Physical Exam - Progress,Broken Nail Continuing Issue ,0
3390,Ovi:  Lyme Vaccine Annual,Broken Nail Continuing Issue ,1
3391,Ovi:  OSHA Compliance Fee,Broken Nail Continuing Issue ,0
3392,Ovi:  Leptospirosis Vaccine Annual,Broken Nail Continuing Issue ,1
3393,Ovi:  X-ray Additional Study and Interpretation,Broken Nail Continuing Issue ,0
3394,Ovi:  Cefpodoxime Proxetil 200 mg tablets,Broken Nail Continuing Issue ,0
3395,Ovi:  Dispensing fee,Broken Nail Continuing Issue ,0
3396,Ovi:  Occult Heartworm/Lyme/Ehrlichia/Anaplasmosis,Broken Nail Continuing Issue ,1
3397,"Ovi:  X-ray Set-up, Initial View and Interpretatio",Broken Nail Continuing Issue ,0
3398,Ovi:  Dispensing fee,Broken Nail Continuing Issue ,0
3399,Ovi:  Carprofen 100 mg  tablet,Broken Nail Continuing Issue ,0
3400,Pyper:  PC- CT Sim Additional Site,Consultation & CT for STS ,0
3401,Pyper:  PC- CT Sim,Consultation & CT for STS ,0
3402,Pyper:  Liquid Fiducial Application,Consultation & CT for STS ,0
3403,Pyper:  CT Radiologist Review Additional Site,Consultation & CT for STS ,0
3404,Pyper:  Consultation Full,Consultation & CT for STS ,0
3405,Pyper:  Ct Scan Radiologist Consultation,Consultation & CT for STS ,0
3406,Rafaela:  TOBREX  0.3%,Proptose eye ,0
3407,Rafaela:  Recheck/Re-evaluation,Proptose eye ,0
3408,"Rafaela:  Metacam, Ind. Syringes (1.5mg/mL)",Proptose eye ,0
3409,Kobe:  Zymox Otic with HC 1.25 oz,otitis externa ,0
3410,Kobe:  Comprehensive Physical Exam,otitis externa ,0
3411,Kobe:  Ear Cytology (in House),otitis externa ,0
3412,Sassi':  NexGard 10.1-24 lbs 6 doses,"Coughing, sneezing, not eating, ADR ",1
3413,Sassi':  Heartgard Plus Blue 0-25 lbs 6mos,"Coughing, sneezing, not eating, ADR ",1
3414,Lacey:  Extract Premolar/Molar 1 Root Rtn,Dental with Extractions  ,0
3415,Lacey:  Extract Incisor Rtn,Dental with Extractions  ,0
3416,Lacey:  Extract Premolar/Molar 2 Root Rtn,Dental with Extractions  ,0
3417,Lacey:  HOSP Dental,Dental with Extractions  ,0
3418,Lacey:  Pain Management Dentistry,Dental with Extractions  ,0
3419,Lacey:  Cefovecin (Convenia) 80mg/mL/mL OPINJ,Dental with Extractions  ,0
3420,Lacey:  Anesthesia Dentistry,Dental with Extractions  ,0
3421,Lacey:  RAD Full Mouth Dental Xray Canine,Dental with Extractions  ,0
3422,Lacey:  Extract Premolar/Molar 3 Root Rtn,Dental with Extractions  ,0
3423,Lacey:  DENTAL Evaluation+Clean Rtn K9,Dental with Extractions  ,0
3424,Max Bubbles:  Fine needle aspiration,Chronic vomiting  FNA and cytology for Dermal Mass (noticed 10 days ago),0
3425,Max Bubbles:  Examination & Consultation,Chronic vomiting  FNA and cytology for Dermal Mass (noticed 10 days ago),0
3426,Max Bubbles:  Famotidine 20mg Tablet,Chronic vomiting  FNA and cytology for Dermal Mass (noticed 10 days ago),0
3427,Max Bubbles:  Famotidine Injection,Chronic vomiting  FNA and cytology for Dermal Mass (noticed 10 days ago),0
3428,Max Bubbles:  Cytology (per organ system),Chronic vomiting  FNA and cytology for Dermal Mass (noticed 10 days ago),0
3429,Blue:  OC04 Office Call Brief,Dermatitis ,0
3430,Sagwa:  EXAMINATION RECHECK,losing weight/fluid filled like intestines ,0
3431,Misha:  Cytopoint 40mg,chronic puritis and alopecia ,0
3432,Misha:  Cytopoint 10mg,chronic puritis and alopecia ,0
3433,Biscuit:  Galliprant 60mg Tablets,LF Lameness  ,0
3434,Indy:  Interceptor Plus 2-8lb/0.9-3.6kg Sgl Orange,Diarrhea/Vomitting ,1
3435,Indy:  DA2P-Pv  Vaccine 1yr,Diarrhea/Vomitting ,1
3436,Indy:  Rabies Vaccine 1yr Canine,Diarrhea/Vomitting ,1
3437,Indy:  Exam/Consultation    Well Patient,Diarrhea/Vomitting ,0
3438,Coco:  Gabapentin 100mg/mL per mL,not herself ,0
3439,Coco:  Radiograph Consult Idexx,not herself ,0
3440,Coco:  RADIOGRAPH  ADDL VIEWS EACH,not herself ,0
3441,Coco:  Radiograph Setup including 1st&2nd view,not herself ,0
3442,MIKO:  Rimadyl (Carprofen) Injection (per ml),Neuter  ,0
3443,MIKO:  Surgical Fluids,Neuter  ,0
3444,"MIKO:  Anesthesia, General I",Neuter  ,0
3445,MIKO:  Pro Cone E-Collar X-Large,Neuter  ,0
3446,MIKO:  Surgical IV Catheter,Neuter  ,0
3447,"MIKO:  Neutering, Canine 26-50 lbs.",Neuter  ,0
3448,MIKO:  Rimadyl 100mg Chew,Neuter  ,0
3449,MIKO:  Pulse Oximeter/ECG & Resp,Neuter  ,0
3450,MIKO:  Microchip Implantation/Registration,Neuter  ,1
3451,MIKO:  Dexdomitor Inj (per mL),Neuter  ,0
3452,MIKO:  Hydromorphone 2mg/ML,Neuter  ,0
3453,Axel:  Gabapentin 100mg caps,Back pain ,0
3454,Neko:  CBC VetScreen,Inappropriate Urination.  ,0
3455,Neko:  Doctor's Consult (Ill Pet Visit),Inappropriate Urination.  ,0
3456,Neko:  T4,Inappropriate Urination.  ,0
3457,Neko:  Urinalysis to Lab ( U/A ),Inappropriate Urination.  ,0
3458,Neko:  Cystocentesis (or catheterization),Inappropriate Urination.  ,0
3459,Neko:  Venipuncture,Inappropriate Urination.  ,0
3460,Neko:  Intestinal Parasite Screening,Inappropriate Urination.  ,0
3461,Eddie:  Autogenous Serum,rt eye squinting ( ulcer confirmed ) ,0
3462,Bounty:  Pimobendan (Vetmedin) 1.25mg Cap DISPCHR,heart murmur and sore right hind ,0
3463,Bounty:  Exam/Consultation   Medical Condition,heart murmur and sore right hind ,0
3464,Bounty:  Meloxicam (Metacam) K9 1.5mg/mL/32mL DISP,heart murmur and sore right hind ,0
3465,Bounty:  Pimobendan (Vetmedin) 5mg Cap DISPCHR,heart murmur and sore right hind ,0
3466,Remi:  Consultation Canine,Skin ,0
3467,Remi:  Apoquel 16mg,Skin ,0
3468,Remi:  Aventi Clav 375mg,Skin ,0
3469,Yori:  Laser Therapy Individual Single Site,perianal fistula  ,0
3470,Yori:  Hills. Police/Fire/EMT 20% Discount,perianal fistula  ,0
3471,Onchu:  Thera Bites K9 Hip & Joint Chews(60),Limping ,0
3472,Milo:  Consult - ER Recheck Exam,Recheck required with xray ,0
3473,Ozzy:  Anal Sac Expression,Pododermatitis ,0
3474,Ozzy:  :Exam-Wellness,Pododermatitis ,0
3475,Rowan:  Consultation - Minor,Vaginitis ,0
3476,Rowan:  FortiFlora Canine,Vaginitis ,0
3477,Rowan:  Urinalysis - Basic (10 Parameters),Vaginitis ,0
3478,Rowan:  Urine Collection (Cystocentesis),Vaginitis ,0
3479,Rowan:  Cefaseptin 300mg DIN02463369,Vaginitis ,0
3480,Sassi':  Physical Examination,"Coughing, Sneezing, not eating, ADR ",0
3481,"Dominic:  Examination, Comprehensive",Allergy Related  ,0
3482,Dominic:  Fluorescein Eye Stain,Allergy Related  ,0
3483,Dominic:  NeoPolyDex Susp,Allergy Related  ,0
3484,Lillie:  Exam/Consultation   Medical Condition,Urine accidents ,0
3485,Lillie:  Schem CBC UA SA021,Urine accidents ,0
3486,Yori:  Laser Therapy Individual Single Site,perianal fistula  ,0
3487,Yori:  Hills. Police/Fire/EMT 20% Discount,perianal fistula  ,0
3488,"Tia:  Fluid Administration, Subcutaneous",vomiting  ,0
3489,Tia:  CPL Snap Test in house,vomiting  ,0
3490,Tia:  Cerenia injection 10mg/ml,vomiting  ,0
3491,Tia:  Cerenia injection 10mg/ml,vomiting  ,0
3492,Tia:  Entyce Capromorelin 30mg/ml 15cc bottle,vomiting  ,0
3493,Tia:  Hills i/d Low Fat K9 Chicken Stew 5.5oz,vomiting  ,0
3494,Tia:  Famotidine 10mg/mL injection,vomiting  ,0
3495,"Tia:  Fluid Administration, Subcutaneous",vomiting  ,0
3496,Tia:  Cerenia 16mg Tablets,vomiting  ,0
3497,Tia:  Famotidine 10mg/mL injection,vomiting  ,0
3498,Bella:  Medical Waste Disposal-State Mandated,loose stool small amounts of watery stool  not eating ,0
3499,Bella:  RABIES CANINE 3 YEAR,loose stool small amounts of watery stool  not eating ,1
3500,Bella:  Fecal Exam,loose stool small amounts of watery stool  not eating ,0
3501,Bella:  PCR Canine GI Profile Cultures,loose stool small amounts of watery stool  not eating ,0
3502,Bella:  Giardia Elisa,loose stool small amounts of watery stool  not eating ,0
3503,Bella:  Anal Gland Expression Monthly,loose stool small amounts of watery stool  not eating ,0
3504,Hiccup:  Consultation / Examination,Vomiting and diarrhea  ,0
3505,Yori:  Atopica 100mg (Box of 15),perianal fistula  ,0
3506,Yori:  Hills. Police/Fire/EMT 20% Discount,perianal fistula  ,0
3507,Yori:  Laser Therapy Individual Single Site,perianal fistula  ,0
3508,Rajahastasia:  SQ Fluids - Maintenance,Renal Failure ,0
3509,Rajahastasia:  Hazardous Waste Disposal Fee,Renal Failure ,0
3510,"Toby:  Examination, General","decreased appetite this claim was previously declined, but we were investigating a possible gastric disease and not a respiratory one. please re-review paw print and this invoice as the cpL was to R/O pancreatitis and the radiographs were to R/O a FB obstruction.",0
3511,Sunshine:  Cystocentesis  U/S Guided,Possible UTI ,0
3512,Sunshine:  Crumps Natural Beef Liver 135g,Possible UTI ,0
3513,Sunshine:  Examination and/or Consult with DVM,Possible UTI ,0
3514,Sunshine:  Urinalysis/ Culture Antech,Possible UTI ,0
3515,Sunshine:  Prosoothe GI Chew Tablet,Possible UTI ,0
3516,Tia:  Cerenia injection 10mg/ml,vomiting  ,0
3517,Tia:  Ultrasound Specialist Report,vomiting  ,0
3518,Tia:  Vitamin B-12 Injection,vomiting  ,0
3519,Tia:  Doctor - Hospital Inpatient Care,vomiting  ,0
3520,Tia:  Inpatient Nursing Care - Level I,vomiting  ,0
3521,Tia:  Inpatient Accommodations,vomiting  ,0
3522,Tia:  Bile Acids Panel (Pre- and Postprandial),vomiting  ,0
3523,Tia:  Ultrasound Abdomen,vomiting  ,0
3524,"Tia:  Fluid Administration, Subcutaneous",vomiting  ,0
3525,Tia:  Famotidine 10mg/mL injection,vomiting  ,0
3526,"Tia:  TLI, PLI, Cobalamin, Folate, CPL -K9",vomiting  ,0
3527,Sophie:  Toceranib (Palladia) 10 mg Tablet BV,"Pulmonary metastasis, Osteosarcoma ",0
3528,Sophie:  Radiograph - Radiologist Review,"Pulmonary metastasis, Osteosarcoma ",0
3529,Sophie:  SChem/CBC (AT-SA020),"Pulmonary metastasis, Osteosarcoma ",0
3530,"Sophie:  Blood Pressure, Doppler","Pulmonary metastasis, Osteosarcoma ",0
3531,"Sophie:  Consultation, Recheck Brief I","Pulmonary metastasis, Osteosarcoma ",0
3532,Sophie:  Toceranib (Palladia) 50 mg Tablet BV,"Pulmonary metastasis, Osteosarcoma ",0
3533,Sophie:  Toceranib (Palladia) 15 mg Tablet BV,"Pulmonary metastasis, Osteosarcoma ",0
3534,Sophie:  Metronidazole 250 mg Tablet,"Pulmonary metastasis, Osteosarcoma ",0
3535,Sophie:  Radiograph Three Views,"Pulmonary metastasis, Osteosarcoma ",0
3536,Sasha:  X-Ray (1-4 Views),Back Pain ,0
3537,Sasha:  X-Ray Consultation- Telemedicine STAT,Back Pain ,0
3538,Sasha:  OSHA Compliance/Biohazard Fee Surgery,Back Pain ,0
3539,Sasha:  Total cost for sedation,Back Pain ,0
3540,Sasha:  EXAM- ROUTINE,Back Pain ,0
3541,Sasha:  Dasuquin Small Breed (150ct.),Back Pain ,0
3542,Kaci:  Galliprant 100 mg Tablets,Atopic Dermatitis + lameness ,0
3543,Kaci:  Comprehensive Physical Exam,Atopic Dermatitis + lameness ,0
3544,Kaci:  zConvenia Inj **BILLED BY WEIGHT**,Atopic Dermatitis + lameness ,0
3545,Kaci:  Apoquel 16 mg Tablet,Atopic Dermatitis + lameness ,0
3546,Kaci:  OSHA Compliance Bio Medical Fee,Atopic Dermatitis + lameness ,0
3547,Charlie:  Tobramycin (gen) 0.3% OphS 5mL DISPMED,eye ,0
3548,Charlie:  Exam/Consultation   Medical Condition,eye ,0
3549,Charlie:  Bravecto K9 Chew 9.9-22lb/4.5-10kg Sgl D,eye ,1
3550,Ryuk:  Metronidazole 250 Mg,Giardia ,0
3551,Ryuk:  Panacur Granuals 22.2% 1 Gram (per 10#),Giardia ,0
3552,Tito:  Bordetella Intranasal,check ears + annual ,1
3553,Tito:  Leptospirosis Vaccine,check ears + annual ,1
3554,Tito:  NeoPolyDex Ophthalmic Drops,check ears + annual ,0
3555,Tito:  Fluorescein Stain,check ears + annual ,0
3556,Tito:  Annual Check Up,check ears + annual ,0
3557,Tito:  IN-CLINIC SNAP 4DX Plus,check ears + annual ,1
3558,Finn:  RADIOGRAPH - additonal views,vomiting ,0
3559,Finn:  Greenies Pill Pockets - Canine 224g,vomiting ,0
3560,Finn:  BLOODWORK - 17 CHEMISTRY PANEL,vomiting ,0
3561,Finn:  RADIOGRAPH - 1st view,vomiting ,0
3562,Finn:  BLOOD COLLECTION,vomiting ,0
